epoch	Loss	Cross-Entropy	Sum of Squared Errors	KLD
0	6.096877193450927	2.1019335269927977	3.9949437618255614	0.0
1	5.940723991394043	1.9943698167800903	3.9463541507720947	0.0
2	5.83839225769043	1.9022883653640748	3.936103868484497	0.0
3	5.690575218200683	1.79390230178833	3.896672821044922	0.0
4	5.539309501647949	1.6941396951675416	3.8451698303222654	0.0
5	5.356379699707031	1.617734146118164	3.738645601272583	0.0
6	5.310969829559326	1.5880315065383912	3.722938394546509	0.0
7	5.102308368682861	1.4700202465057373	3.63228816986084	0.0
8	5.13408727645874	1.472825789451599	3.6612614154815675	0.0
9	5.000909900665283	1.3709518671035767	3.6299581050872805	0.0
10	4.885673236846924	1.2912392139434814	3.5944339752197267	0.0
11	4.704637908935547	1.201541829109192	3.503095865249634	0.0
12	4.551361465454102	1.1514156579971313	3.3999457359313965	0.0
13	4.435523176193238	1.0383809328079223	3.397142171859741	0.0
14	4.389743185043335	1.0206297874450683	3.368224096298218	0.0008891010773368179
15	4.193623113632202	0.9071733474731445	3.285515785217285	0.0009338849573396147
16	4.118519115447998	0.8638468146324157	3.2537058353424073	0.0009665178135037422
17	3.979349374771118	0.7763876795768738	3.201983690261841	0.0009780254331417382
18	3.8596076011657714	0.697625744342804	3.160957908630371	0.0010238988557830452
19	3.782769536972046	0.7105138421058654	3.070125102996826	0.002130563370883465
20	3.7079809665679933	0.6459754586219788	3.059827423095703	0.002178054628893733
21	3.7102303981781004	0.6597406983375549	3.048240566253662	0.002249083807691932
22	3.524081802368164	0.5803266882896423	2.941416835784912	0.002338306186720729
23	3.446261501312256	0.5420573472976684	2.9018125534057617	0.0023915762081742286
24	3.4018787860870363	0.4863808810710907	2.9118372440338134	0.00366065539419651
25	3.3284002780914306	0.431800389289856	2.8927579879760743	0.0038419363088905813
26	3.201950788497925	0.46005324125289915	2.737947463989258	0.00395003454759717
27	3.163765287399292	0.39634906947612764	2.7634403705596924	0.00397579362615943
28	3.1711960315704344	0.41468275189399717	2.7524692535400392	0.004044035915285349
29	3.1737977504730224	0.43674697279930114	2.7329192638397215	0.004131523752585053
30	2.984808349609375	0.3326737642288208	2.647807741165161	0.004326855950057507
31	3.0236831188201903	0.35555803775787354	2.663732671737671	0.00439247265458107
32	2.8777080535888673	0.280768558382988	2.592466402053833	0.0044730579480528835
33	2.9092685699462892	0.29757546782493594	2.6070406913757322	0.004652436450123787
34	2.894056272506714	0.3337796688079834	2.5556007862091064	0.004675845336169005
35	2.8644920349121095	0.26201620101928713	2.5978129386901854	0.004662917554378509
36	2.781941318511963	0.2512844055891037	2.5258063316345214	0.004850608948618174
37	2.7835944652557374	0.30417871475219727	2.474558162689209	0.004857503436505794
38	2.8031824111938475	0.303226900100708	2.49505820274353	0.004897234681993723
39	2.7195449829101563	0.23627091348171234	2.4782530307769775	0.005020997673273087
40	2.668756675720215	0.2256656527519226	2.437893009185791	0.005198032688349485
41	2.6788426876068114	0.19922420084476472	2.4744425773620606	0.005175945162773132
42	2.651745843887329	0.20467766225337983	2.4418517112731934	0.00521649569272995
43	2.5844268798828125	0.18708654046058654	2.3919804096221924	0.005359923280775547
44	2.567318391799927	0.17043378949165344	2.391455316543579	0.005429253820329905
45	2.6464460849761964	0.22679535746574403	2.4141432762146	0.0055074097588658335
46	2.5812222480773928	0.1782105579972267	2.3975689888000487	0.005442739091813564
47	2.5794129848480223	0.2121587350964546	2.361787033081055	0.00546724097803235
48	2.4900601863861085	0.1860769733786583	2.29839768409729	0.005585481971502304
49	2.3664851983388266	0.10226216912269592	2.2585715452829995	0.005651482536147038
50	2.4308690230051675	0.12915034840504327	2.295947233835856	0.005771397302548091
51	2.377084811528524	0.08681054413318634	2.2843404610951743	0.005933815613389015
52	2.4391067028045654	0.16540951281785965	2.2678302923838296	0.005866959846268098
53	2.3975110054016113	0.09948297838370006	2.2919580936431885	0.006069936168690522
54	2.357391277949015	0.11195371051629384	2.2393339474995932	0.006103635610391696
55	2.3086510499318442	0.09084358314673106	2.2117106914520264	0.006096774246543646
56	2.2898379961649575	0.07586819926897685	2.207764148712158	0.006205626918623845
57	2.3120349248250327	0.11377443373203278	2.1920626958211265	0.006197719369083643
58	2.266880909601847	0.11678021897872289	2.14382274945577	0.0062779841634134454
59	2.385324001312256	0.12835379441579184	2.2506820360819497	0.006288308650255203
60	2.218069871266683	0.07483858242630959	2.136828581492106	0.0064026534867783385
61	2.2670412063598633	0.09361442923545837	2.1670264403025308	0.006400294912358125
62	2.271404981613159	0.1004941500723362	2.164485732714335	0.0064251104680200415
63	2.2567586104075112	0.09747287382682164	2.1528164545694985	0.006469260901212692
64	2.269986708958944	0.09132198244333267	2.1721858183542886	0.006478922131160895
65	2.1447394688924155	0.07010651131470998	2.0680542389551797	0.00657871225848794
66	2.2204532623291016	0.08779654403527577	2.126001516977946	0.006655299570411444
67	2.2254026730855307	0.07594176381826401	2.1427810192108154	0.006679929327219725
68	2.2366527716318765	0.10467490802208583	2.1253071626027427	0.006670603062957525
69	2.1429010232289634	0.06416480739911397	2.0719696283340454	0.006766487533847491
70	2.15604035059611	0.0758867437640826	2.073432763417562	0.006720790794740121
71	2.1556827227274575	0.06376705691218376	2.0850954055786133	0.006820284916708867
72	2.1328705549240112	0.06608709196249644	2.0598416725794473	0.006941747386008501
73	2.18043843905131	0.06661101430654526	2.106921116511027	0.006906366596619288
74	2.1359676917394004	0.07250296386579673	2.0565760135650635	0.006888638871411483
75	2.177839477856954	0.09207498654723167	2.0789570013682046	0.006807471004625161
76	2.190317948659261	0.10098762810230255	2.0824671586354575	0.0068632458957533045
77	2.1426993211110434	0.04997273037830988	2.08562171459198	0.007104913548876842
78	2.1417433420817056	0.07581029708186786	2.058819055557251	0.007114003257205089
79	2.0766951640446982	0.042894819751381874	2.026581645011902	0.0072187078185379505
80	2.109851082166036	0.0682971899708112	2.0344525973002114	0.007101367538173993
81	2.0720421075820923	0.051170650869607925	2.013624906539917	0.007246576094379027
82	2.0972683827082315	0.06807007392247517	2.0220565795898438	0.007141740061342716
83	2.1165698369344077	0.0910910094777743	2.018206477165222	0.007272336321572463
84	2.1218239466349282	0.07341308395067851	2.0411608616511026	0.007250010346372922
85	2.061038017272949	0.0514854130645593	2.0022041400273642	0.0073484925863643484
86	2.0712498823801675	0.052528224885463715	2.0113680760065713	0.00735359297444423
87	2.007178862889608	0.04789964482188225	1.9518165985743205	0.007462710918237765
88	1.9623425404230754	0.04817808295289675	1.906675100326538	0.007489331377049287
89	2.0507742166519165	0.058162144074837364	1.9851826032002766	0.007429501041769981
90	2.0059249798456826	0.04788822184006373	1.9504413207372029	0.0075955491823454695
91	2.0173021952311196	0.04641412446896235	1.9632670084635417	0.0076210567106803255
92	2.043983062108358	0.04581322272618612	1.990527828534444	0.007641987254222234
93	2.006364862124125	0.03760460950434208	1.9609808921813965	0.007779297418892384
94	2.077602744102478	0.08363359918196996	1.986275355021159	0.00769382140909632
95	2.02163294951121	0.048086379965146385	1.9657574097315471	0.007789119612425566
96	1.9962822993596394	0.04635458315412203	1.9422804514567058	0.007647308520972729
97	2.0076415141423545	0.05834898849328359	1.9415950775146484	0.007697484145561854
98	2.0637861490249634	0.0510753703614076	2.005080064137777	0.007630641416956981
99	1.9796855449676514	0.05696676392108202	1.914938509464264	0.007780261803418398
